88,0,1,4.5983,0,48,48,35.493,5.71,5.97,0,0,0.911
122,0,1,35.851,0,77,3,55.06,4.78,14.77,0,0,1.254
145,0,1,49.4374,0,3,1,38.924,5.13,7.98,0,0,-0.128
154,0,1,57.5916,0,6,0,50.298,4.37,7.86,0,0,1.631
171,0,2,9.6451,1,27,5,4.161,5.8,80.63,0,0,0.69
183,0,2,19.9142,0,29,43,13.613,5.04,6.4,0,0,-0.15
186,0,2,24.1675,1,8,57,24.601,6.33,7.55,0,0,0.182
194,0,2,29.7575,1,8,29,8.083,5.7,26.53,0,0,0.315
301,0,3,44.3724,0,17,20,9.492,4.55,14.31,0,0,-0.047
330,0,4,13.6637,1,62,17,15.593,5.9,0.89,0,0,0.274
355,0,4,30.1224,0,10,30,34.18,4.99,2.03,0,0,1.619
443,0,5,20.1458,0,5,42,28.197,4.61,25.38,0,0,1.029
476,0,5,41.9358,1,13,23,46.616,5.55,8.75,0,0,0.901
531,0,6,26.5269,1,64,11,46.207,5.57,3.32,0,0,-0.023
664,0,8,12.0919,0,2,26,51.716,6.18,3.25,0,0,1.366
677,0,8,23.168,1,29,5,26.981,2.07,33.6,0,0,-0.038
729,0,9,2.3382,1,18,12,43.291,5.57,11.17,0,0,1.043
746,0,9,10.0897,1,59,9,0.785,2.28,59.89,0,0,0.38
761,0,9,21.0207,0,27,59,16.454,5.42,14.57,0,0,0.414
765,0,9,24.5399,0,45,44,49.158,3.88,23.28,0,0,1.013
813,0,10,2.1846,1,11,8,44.913,5.54,10.04,0,0,-0.064
814,0,10,2.269,0,82,13,26.391,5.29,13.45,0,0,1.049
841,0,10,19.242,1,46,4,20.176,5.01,3.24,0,0,0.405
910,0,11,15.9082,0,15,28,2.362,4.89,52.94,0,0,0.487
930,0,11,34.417,0,27,47,59.202,5.41,5.61,0,0,1.346
950,0,11,43.8881,0,35,8,0.226,5.24,45.85,0,0,0.459
1067,0,13,14.15,1,15,11,1.017,2.83,9.79,0,0,-0.19
1086,0,13,30.9353,1,41,2,8.616,5.71,28.57,0,0,0.331
1168,0,14,36.1081,1,20,12,24.11,4.79,10.01,0,0,1.572
1170,0,14,38.4327,0,18,55,57.671,4.44,6.62,0,0,1.64
1196,0,14,58.7817,1,8,49,15.682,6.02,12.47,0,0,0.312
1319,0,16,34.0573,1,8,14,24.684,6.12,7.38,0,0,0.919
1366,0,17,5.5356,1,38,40,54.045,4.61,12.88,0,0,0.059
1473,0,18,19.7053,1,36,47,7.178,4.51,23.11,0,0,0.054
1501,0,18,42.15,1,43,47,28.132,6.1,4.71,0,0,-0.074
1562,0,19,25.683,0,8,49,25.786,3.56,11.26,0,0,1.214
1599,0,20,1.9142,0,64,52,39.444,4.23,116.38,0,0,0.576
1645,0,20,35.8642,1,8,11,24.893,5.38,8.26,0,0,1.343
1647,0,20,39.0429,0,69,37,29.682,5.5,10.65,0,0,-0.046
1686,0,21,7.2259,1,37,58,7.318,5.16,20.42,0,0,0.442
1708,0,21,31.1763,0,28,58,52.662,5.18,10.5,0,0,1.006
1772,0,22,25.4453,1,13,28,56.763,6.25,5.98,0,0,1.225
1803,0,22,51.553,0,12,12,34.506,6.39,49.05,0,0,0.659
